YNL141W	YKL086W
YCL065W	YLR374C
YCR007C	YDR107C
YCR023C	YMR075C-A
YCR099C	YGR203W
YCR099C	YIL059C
YCR101C	YHL042W
YDL011C	YEL023C
YDL025C	YGR016W
YDL099W	YKL050C
YDL110C	YLR125W
YDR063W	YGL239C
YDR100W	YGL161C
YDR100W	YPL095C
YDR107C	YOL015W
YDR128W	YER182W
YDR128W	YHR033W
YDR128W	YMR106C
YDR229W	YJL017W
YDR307W	YHR140W
YDR307W	YJL091C
YDR332W	YMR074C
YDR374C	YJL070C
YEL004W	YPL264C
YEL023C	YMR104C
YER067W	YPL180W
YFR003C	YPR050C
YGL010W	YPL257W
YGL042C	YHL042W
YGL161C	YGL198W
YGL161C	YHR105W
YGL161C	YPL095C
YGL161C	YBR264C
YGL161C	YFL038C
YGL161C	YER031C
YGL161C	YKR014C
YGL161C	YNL093W
YGL198W	YPL095C
YGL198W	YBR264C
YGL198W	YFL038C
YGL198W	YER031C
YGL198W	YKR014C
YGL198W	YNL093W
YGR016W	YMR104C
YGR045C	YOR271C
YGR182C	YPL066W
YGR266W	YMR106C
YGR294W	YHL018W
YHL010C	YKR017C
YHL042W	YIL006W
YHL042W	YPL264C
YHR033W	YMR106C
YHR115C	YNL116W
YHR115C	YOR215C
YHR140W	YMR279C
YHR140W	YPL264C
YHR199C	YLR427W
YJR011C	YNR069C
YJR020W	YNL092W
YJR083C	YHR016C
YKL061W	YNL086W
YKL061W	YNL122C
YKR065C	YLR036C
YMR106C	YLR271W
YMR106C	YML020W
YMR106C	YMR226C
YMR106C	YOR302W
YLL049W	YNR069C
YLR125W	YMR030W
YLR243W	YHR016C
YLR287C	YNL092W
YMR147W	YFR049W
YMR322C	YNL260C
YNL146W	YER031C
YNR068C	YNR069C
YKR014C	YNL093W
